Sheet: FoodNutrientData

Row number | Item                                                                    | Column name | File 1 | File 2
___________|_________________________________________________________________________|_____________|________|_______
3806       | Gazpacho                                                                | FoodDeleted | 1      |       
3807       | Gazpacho, canned, undiluted                                             | FoodDeleted | 1      |       
4527       | Hot Chili pepper, raw                                                   | FoodDeleted | 1      |       
4528       | Hot Chili pepper, red, no seeds, canned                                 | FoodDeleted | 1      |       
4529       | Hot Chili pepper, red, raw                                              | FoodDeleted | 1      |       
4530       | Hot Chili pepper, sun-dried                                             | FoodDeleted | 1      |       
4559       | Hot Green Chili, pods with o seeds, canned                              | FoodDeleted | 1      |       
5462       | Lemon juice, canned or bottled                                          | FoodDeleted | 1      |       
5463       | Lemon juice, canned or bottled                                          | FoodDeleted | 1      |       
5464       | Lemon Juice, fresh                                                      | FoodDeleted | 1      |       
5465       | Lemon juice, NS as to form                                              | FoodDeleted | 1      |       
6141       | Mixed vegetables, canned, drained                                       | FoodDeleted | 1      |       
6142       | Mixed vegetables, canned, solids & liquid                               | FoodDeleted | 1      |       
6143       | Mixed vegetables, cooked from canned                                    | FoodDeleted | 1      |       
6144       | Mixed vegetables, cooked from frozen                                    | FoodDeleted | 1      |       
6146       | Mixed vegetables, frozen                                                | FoodDeleted | 1      |       
6147       | Mixed vegetables, frozen, boiled                                        | FoodDeleted | 1      |       
9730       | Soup, miso broth                                                        | FoodDeleted | 1      |       
9731       | Soup, miso broth, tofu soup                                             | FoodDeleted | 1      |       
10654      | Tomato paste                                                            | FoodDeleted | 1      |       
10655      | Tomato Paste, canned, no salt                                           | FoodDeleted | 1      |       
10657      | Tomato puree                                                            | FoodDeleted | 1      |       
10658      | Tomato Puree, canned                                                    | FoodDeleted | 1      |       
10661      | Tomato sauce                                                            | FoodDeleted | 1      |       
10662      | Tomato Sauce,  canned with herbs & cheese                               | FoodDeleted | 1      |       
10663      | Tomato Sauce,  canned with tomato bits                                  | FoodDeleted | 1      |       
10664      | Tomato Sauce, canned                                                    | FoodDeleted | 1      |       
10665      | Tomato Sauce, canned with celery, onion & peppers                       | FoodDeleted | 1      |       
